Scenario,Replication,numSorties,AvgUnsched,timeQueueMx,serviceUtil,mxUtil,crewChiefUtil,altSorties
Scenario1,1,740,1.36666666666667,3.79595649401372,82.8944137998637,82.0048277285689,96.4415552708933,824
Scenario1,2,772,1.66666666666667,4.3078942395681,84.2292729133245,85.808330151896,98.3259272413615,828
Scenario1,3,720,1.63333333333333,3.70900673093038,82.5138832632365,84.1214961098849,96.2926818777938,808
Scenario1,4,744,1.56666666666667,4.05775097671283,82.3029304648652,82.5618877348815,96.1264438239579,820
Scenario1,5,768,1.5,3.12667679432072,83.8506047246292,83.753497030529,97.4502920425021,836
Scenario1,6,760,1.26666666666667,3.75252677405927,83.3295974262821,84.6574221907789,97.2861372734422,828
Scenario1,7,712,1.36666666666667,4.0858284186266,82.7377511970549,86.3500991079079,96.8245629826003,804
Scenario1,8,748,1.23333333333333,4.39590507278043,83.1420547189573,81.9815055202739,96.5157884888431,824
Scenario1,9,760,1.66666666666667,4.68995066665751,83.3008800992235,90.5925879678761,98.8071971574299,816
Scenario1,10,748,1.23333333333333,4.56229004417793,83.5379890553812,81.3339445526307,96.4158050707265,828
Scenario1,11,764,1,4.95002032215926,83.7487630834211,80.9860179391439,96.9389340476068,836
Scenario1,12,768,1.3,3.49518421099055,83.6992205217998,81.0318444536241,96.756141889213,832
Scenario1,13,752,1.46666666666667,4.46281227353409,82.7073963829281,84.3055033282501,96.5410993450931,820
Scenario1,14,748,1.26666666666667,3.14068245104255,83.4601304118056,82.5725146416595,97.0288688824608,828
Scenario1,15,752,1.6,4.16449890805916,84.2041962576749,87.0006442767266,98.2628407576508,816
Scenario1,16,756,1.33333333333333,3.71749608175439,83.4681787514192,80.9860908153766,96.7844521768489,832
Scenario1,17,752,1.2,3.41893781571737,84.1017404172671,81.3792560077921,97.1910421071612,832
Scenario1,18,760,1.4,4.20433042593109,83.5091105471755,85.5444506292184,97.5719567928478,828
Scenario1,19,764,1.2,3.8212530672552,83.4902813297231,81.5072782359501,96.797557970582,832
Scenario1,20,768,0.833333333333333,3.75644326616682,83.578981353591,80.8910055918855,96.792271609158,840
Scenario2,1,676,1.33333333333333,3.90853325954532,96.9515153288517,99.6193570812293,85.5018749167547,732
Scenario2,2,640,1.43333333333333,4.75015415747538,96.6553021921624,98.7274797628927,84.8450178905848,712
Scenario2,3,632,1.43333333333333,4.52973935105183,96.1797156831863,98.1828992725651,84.4745195685956,708
Scenario2,4,680,1.46666666666667,4.13441704181096,97.0825258043978,98.4533926911757,85.4254992785842,732
Scenario2,5,672,1.23333333333333,3.68715924898514,97.064435473419,101.627957390642,86.052128876795,740
Scenario2,6,636,1.1,3.66794063497441,95.2954418841347,99.1064365329689,84.309296767166,724
Scenario2,7,640,1.2,4.55678460742697,96.3269562806158,100.49100049263,84.866098151328,708
Scenario2,8,652,1.1,5.04046187718209,95.977000712095,99.0536302655919,84.6365179586231,716
Scenario2,9,628,1.43333333333333,5.17540824827896,96.6115300968489,99.4791188354935,85.0073508874026,700
Scenario2,10,656,1,4.33987553890023,96.830131657682,97.797910901007,84.5601295153436,724
Scenario2,11,644,0.833333333333333,3.92356446256496,94.1946875873051,95.715019095825,82.8648880852853,712
Scenario2,12,652,1.1,5.06580063111431,95.2365939990432,96.2809127603931,83.5504820097399,720
Scenario2,13,640,1.33333333333333,4.15053603212997,95.4060851286279,97.9532091132843,83.9817442998432,712
Scenario2,14,660,1.13333333333333,3.96051786066592,97.0222370686729,98.6286364129829,85.4284861197816,724
Scenario2,15,604,1.4,6.05231627134567,95.1261247319997,98.2091532276392,83.4708026640611,696
Scenario2,16,656,1.23333333333333,4.50766020785947,96.3220542638676,98.3968662539399,85.0374325750083,728
Scenario2,17,648,1.03333333333333,3.73053208080644,96.3657983566445,97.5272141461342,84.6488748685275,724
Scenario2,18,644,1.13333333333333,4.17834745145093,95.5556422457483,96.5711113424418,83.5549510032321,712
Scenario2,19,664,1.13333333333333,4.74480732865261,95.777880045613,99.7045416597018,84.888949731991,728
Scenario2,20,664,0.7,4.42486551881864,96.7191435825179,98.4799608878806,85.2012459090504,736
Scenario3,1,684,1.33333333333333,2.34655001941821,94.6492195176845,20.2333000487895,88.6644846375106,756
Scenario3,2,664,1.46666666666667,2.03343278101445,92.8852314745354,26.9904651122879,88.768599689818,744
Scenario3,3,712,1.53333333333333,2.21903921287002,94.8255186919958,25.5013655020968,90.1530152173264,760
Scenario3,4,684,1.53333333333333,1.88789155763325,94.3318593093645,23.4786087348998,89.3574097560808,760
Scenario3,5,672,1.26666666666667,0.628320345502652,93.8294218682153,19.777478240541,87.5976406605347,752
Scenario3,6,696,1.16666666666667,1.04706164875938,95.5594146167608,22.0660360268803,89.7018781299901,764
Scenario3,7,684,1.23333333333333,1.63707024767173,94.2470621661231,28.3782597334217,90.0497410256014,752
Scenario3,8,700,1.16666666666667,1.81155156242171,94.1296674598785,23.9763105859894,89.130190898074,760
Scenario3,9,684,1.5,2.49308137640499,93.5283913185391,32.3287009246453,90.7536517484742,744
Scenario3,10,704,1.06666666666667,1.11530952152424,95.6878105053488,17.9963513600891,88.5920058984974,760
Scenario3,11,700,0.9,1.4559326840881,95.3657755795967,18.1086038590834,88.7413762641246,764
Scenario3,12,716,1.2,2.15127861483591,95.4020580788159,20.8590472218876,89.4643215817362,772
Scenario3,13,700,1.33333333333333,1.92752800149708,95.0395686623989,24.0505742363835,89.9007956674536,760
Scenario3,14,696,1.16666666666667,0.524983260073994,94.7048354895012,20.5990209945197,88.909679242558,760
Scenario3,15,688,1.5,2.93267780133838,94.1033796038219,29.7272489609075,90.3044000142533,756
Scenario3,16,680,1.23333333333333,1.21063682299946,94.404632233322,18.4453099975964,88.1360275891579,752
Scenario3,17,680,1.1,1.45596065979452,94.4427968775356,18.9961380856188,88.0721374755518,752
Scenario3,18,708,1.2,1.38906138068028,94.8935627687368,21.8898722132999,89.0456471443831,764
Scenario3,19,688,1.13333333333333,1.62367662858886,93.7663646760815,19.3578833165146,87.7414653715001,752
Scenario3,20,692,0.733333333333333,2.39240474339264,94.8699565592504,16.7591293370187,87.9425728274141,760
